Chapter,Family,Name,Amount,Ingredient,Notes
,,,3 oz,pineapple juice,
,,,1 oz,lime juice,
,,,0.5 oz,grenadine,
,,,5-10 sec,shake,shake
,,,1,pineapple flag,garnish
,,,some,ice cubes,ice
,,,1,hurricane glass,glass
,,Planter's Punch,1.5 oz,light rum,
,,,4 oz,pineapple juice,
,,,0.5 oz,grenadine,
,,,5-10 sec,shake,shake
,,,1,maraschino cherries,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Mai Tai,0.5 oz,light rum,
,,,0.5 oz,Grand Marnier,
,,,0.5 oz,amaretto,
,,,3 oz,pineapple juice,
,,,1 oz,lime juice,
,,,5-10 sec,shake,shake
,,,1,pineapple wedge,garnish
,,,some,ice cubes,ice
,,,1,hurricane glass,glass
,,Blue Lagoon,1 oz,light rum,
,,,0.5 oz,blue curacao,
,,,2 oz,pineapple juice,
,,,2 oz,lime juice,
,,,5-10 sec,shake,shake
,,,1,orange boat,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,Drinks to Beat the Heat,Bartender's Root Beer,1 oz,Kahlua,
,,,0.5 oz,Galliano,
,,,3 oz,cola,
,,,1 oz,club soda,
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Cuba Libre,1.5 oz,rum,
,,,3.5 oz,cola,
,,,0.25 oz,lime juice,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Texas Tea,0.5 oz,tequila,
,,,0.5 oz,rum,
,,,0.5 oz,triple sec,
,,,0.5,lemon,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,2 oz,cola,
,,,1,lemon wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Lynchburg Lemonade,1 oz,Jack Daniel's,
,,,0.5 oz,triple sec,
,,,0.25,lemon,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,2.5 oz,lemon-lime soda,
,,,1,lemon wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,Dangerous Cocktails,Killer Kool-aid,0.5 oz,vodka,
,,,0.5 oz,Midori melon liqueur,
,,,0.5 oz,amaretto,
,,,4 oz,red cranberry juice,
,,,1,lime wheel,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Hurricane,0.5 oz,light rum,
,,,0.5 oz,dark rum,
,,,0.5 oz,Galliano,
,,,2 oz,orange juice,
,,,1 oz,pineapple juice,
,,,1 oz,lime juice,
,,,5-10 sec,shake,shake
,,,1,lime wheel,garnish
,,,some,ice cubes,ice
,,,1,hurricane glass,glass
,,Zombie,0.5 oz,light rum,
,,,0.5 oz,dark rum,
,,,0.5 oz,Grand Marnier,
,,,2 oz,orange juice,
,,,2 oz,pineapple juice,
,,,0.5 oz,grenadine,
,,,5-10 sec,shake,shake
,,,1,pineapple flag,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Scorpion,0.5 oz,light rum,
,,,0.5 oz,cognac,
,,,0.5 oz,amaretto,
,,,3 oz,orange juice,
,,,1 oz,lime juice,
,,,5-10 sec,shake,shake
,,,1,orange flag,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Big Fella,0.5 oz,vodka,
,,,0.5 oz,Southern Comfort,
,,,0.5 oz,amaretto,
,,,4 oz,red cranberry juice,
,,,1,lime wheel,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,Global Sunshine Cocktails,Singapore Sling,1.5 oz,gin,
,,,2 oz,orange juice,
,,,1 oz,lime juice,
,,,0.5 oz,grenadine,
,,,1 oz,club soda,
,,,1,orange flag,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Bahama Mama,1 oz,light rum,
,,,0.5 oz,Malibu rum,
,,,2 oz,orange juice,
,,,2 oz,pineapple juice,
,,,5-10 sec,shake,shake
,,,1,pineapple flag,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Alabama Slammer,0.5 oz,vodka,
,,,0.5 oz,Southern Comfort,
,,,0.5 oz,amaretto,
,,,4 oz,orange juice,
,,,0.5 oz,grenadine,
,,,5-10 sec,shake,shake
,,,1,maraschino cherries,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Blue Hawaiian,1 oz,Malibu rum,
,,,0.5 oz,blue curacao,
,,,3 oz,pineapple juice,
,,,1 oz,lime juice,
,,,5-10 sec,shake,shake
,,,1,orange flag,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,Tastes of Rum,Raggae Rum Punch,1.5 oz,dark rum,
,,,0.5 oz,Chambord,
,,,2 oz,orange juice,
,,,2 oz,pineapple juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,some,ice cubes,ice
,,,1,pineapple flag,garnish
,,,1,highball glass,glass
,,Bacardi Cocktail,2 oz,Bacardi light rum,
,,,1 oz,lime juice,
,,,1 oz,water,
,,,0.5 oz,grenadine,
,,,some,ice cubes,ice
,,,5-10 sec,shake,shake
,,,1,maraschino cherries,garnish
,,,1,cocktail glass,glass
,,Pain Killer,1.5 oz,dark rum,
,,,0.5 oz,Malibu coconut rum,
,,,2 oz,orange juice,
,,,2 oz,pineapple juice,
,,,5-10 sec,shake,shake
,,,some,ice cubes,ice
,,,1,pineapple wedge,garnish
,,,1,highball glass,glass
,,Reef Juice,1.5 oz,dark rum,
,,,0.5 oz,banana liqueur,
,,,3 oz,pineapple juice,
,,,0.5,lime,
,,,0.5 oz,grenadine,
,,,5-10 sec,shake,shake
,,,some,ice cubes,ice
,,,1,highball glass,glass
,Tastes of Tequila,Tequlia Sunrise,0.5 oz,grenadine,
,,,1.5 oz,tequila,
,,,4 oz,orange juice,
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Freddy Fudpucker,1 oz,tequila,
,,,0.5 oz,Galliano,
,,,4 oz,orange juice,
,,,1,maraschino cherries,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Mayan,1.5 oz,tequila,
,,,0.5 oz,Kahlua,
,,,2 oz,pineapple juice,
,,,5-10 sec,shake,shake
,,,3,espresso beans,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Mexican Mule,2 oz,tequila,
,,,0.5,lime,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,3 oz,ginger beer,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
